name	ena_id	assay_name	lab	lab_code	pop	kgp_phase1	kgp_phase3
HG00096	ERR188040	HG00096.1.M_111124_6	UNIGE	1	GBR	1	1
HG00097	ERR188231	HG00097.7.M_120219_2	LUMC	7	GBR	1	1
HG00099	ERR188428	HG00099.5.M_120131_3	HMGU	5	GBR	1	1
HG00100	ERR188206	HG00100.2.M_111215_8	CNAG_CRG	2	GBR	1	1
HG00101	ERR188307	HG00101.1.M_111124_4	UNIGE	1	GBR	1	1
HG00102	ERR188416	HG00102.3.M_120202_8	MPIMG	3	GBR	1	1
HG00103	ERR188136	HG00103.4.M_120208_3	ICMB	4	GBR	1	1
HG00104	ERR188247	HG00104.1.M_111124_5	UNIGE	1	GBR	1	0
HG00105	ERR188368	HG00105.3.M_120223_6	MPIMG	3	GBR	0	1
HG00106	ERR188167	HG00106.4.M_120208_5	ICMB	4	GBR	1	1
HG00108	ERR188166	HG00108.7.M_120219_2	LUMC	7	GBR	1	1
HG00109	ERR188328	HG00109.3.M_120202_5	MPIMG	3	GBR	1	1
HG00110	ERR188082	HG00110.2.M_120131_2	CNAG_CRG	2	GBR	1	1
HG00111	ERR188342	HG00111.2.M_111215_4	CNAG_CRG	2	GBR	1	1
HG00112	ERR188465	HG00112.6.M_120119_2	UU	6	GBR	1	1
HG00114	ERR188071	HG00114.6.M_120217_1	UU	6	GBR	1	1
HG00115	ERR188186	HG00115.6.M_120119_1	UU	6	GBR	0	1
HG00116	ERR188293	HG00116.2.M_120131_1	CNAG_CRG	2	GBR	1	1
HG00117	ERR188219	HG00117.1.M_111124_2	UNIGE	1	GBR	1	1
HG00118	ERR188236	HG00118.4.M_120208_5	ICMB	4	GBR	1	1
HG00119	ERR188119	HG00119.2.M_111216_6	CNAG_CRG	2	GBR	1	1
HG00120	ERR188315	HG00120.3.M_120202_2	MPIMG	3	GBR	1	1
HG00121	ERR188087	HG00121.1.M_111124_7	UNIGE	1	GBR	1	1
HG00122	ERR188285	HG00122.6.M_120119_1	UU	6	GBR	1	1
HG00123	ERR188035	HG00123.4.M_120208_7	ICMB	4	GBR	1	1
HG00124	ERR188310	HG00124.3.M_120223_7	MPIMG	3	GBR	1	0
HG00125	ERR188059	HG00125.1.M_111124_6	UNIGE	1	GBR	1	1
HG00126	ERR188461	HG00126.1.M_111124_8	UNIGE	1	GBR	1	1
HG00127	ERR188337	HG00127.1.M_111124_2	UNIGE	1	GBR	1	1
HG00128	ERR188245	HG00128.1.M_111124_6	UNIGE	1	GBR	1	1
